state,district_id,avg_CM,avg_LC,avg_LC_CM_SDO,avg_Missing,avg_SDO,med_CM,med_LC,med_LC_CM_SDO,med_Missing,med_SDO
Connecticut,1558,551.29344089,195.26400009,291.22098489,71.573359457,860.17903132,3.935,6.3,6.52,0.92,12.71
Connecticut,1904,742.47231609,464.2284678,390.08560404,195.59026264,1633.7428947,54.41,14.87,40.16,5.75,29.79
Connecticut,2201,300.91236162,180.65639442,149.72489552,36.578365383,927.99280569,2.73,4.3,3.74,0.65,11.24
Connecticut,2729,308.78183333,418.14103421,189.52345938,278.50427234,954.65531011,28.965,24.65,27.03,7.22,28.83
Connecticut,3314,311.47262931,301.97303197,299.28971686,76.637159533,1600.8429679,5.68,9.57,9.87,1.51,16.73
Connecticut,3640,691.03600208,283.87836143,361.49484345,68.811291994,1386.1741621,7.41,8.495,9.72,1.35,6.49
Connecticut,3936,1258.1457962,442.56743381,380.9373298,207.40245758,2213.6225736,45.1,23.94,75.07,8.96,28.345
Connecticut,4031,742.59466522,263.33929101,173.35869873,171.52354708,1390.5718197,11.98,11.46,16.89,2.87,23.265
Connecticut,4083,563.79112324,266.64546078,229.43543083,107.67724994,1362.4770284,13.86,9.17,10.08,1.88,12.65
Connecticut,4516,447.05527738,201.93605824,96.337851459,57.539802977,743.93146512,3.58,4.12,3.9,0.89,5.1
Connecticut,4520,1022.4292204,260.06340223,259.33098516,154.71817964,1378.9285586,13.22,7.77,7.75,1.89,30.785
Connecticut,4569,385.86314904,124.00078415,74.290657835,31.158043452,811.33690755,2.18,3.32,5.16,0.51,6.875
Connecticut,4602,694.3897482,559.76039571,323.82020246,201.2528176,3389.3232269,9.27,12.515,8.18,3.18,15.02
Connecticut,5802,346.30571658,263.35355259,153.06301983,122.37788347,1426.4082208,15.215,8.06,7.96,2.99,12.425
Connecticut,5934,780.61467532,361.17637716,295.10305918,127.77986058,1733.5390526,10.565,9.77,12.03,2.4,15.8
Connecticut,6046,526.60814402,326.41521734,383.74004369,170.13939567,1427.764385,18.81,9.82,21.31,2.8,13.51
Connecticut,6055,541.66558363,660.6941341,283.50519274,467.30260894,1587.3674475,51.05,28.57,37.67,15.02,96.43
Connecticut,6194,416.14186684,269.41347124,317.77844403,43.072925567,1351.249696,3.79,5.48,8.75,0.72,7.27
Connecticut,6250,863.87863616,373.87888785,209.09716424,135.95517649,1549.3118818,9.02,9.79,9.27,2.63,35.65
Connecticut,6998,711.16368825,397.04507405,201.16422827,94.995763086,1136.4460005,16.15,9.17,10.555,2.87,25.67
Connecticut,7785,776.59075351,248.83359559,261.8999606,81.393288906,1050.7375083,6.41,5.69,7.965,1.19,16.245
Connecticut,8076,173.72938832,149.74637857,106.03936798,90.523538205,639.78335636,12.33,7.51,10.21,2.26,13.085
Connecticut,8127,492.83794293,335.73620017,361.90487188,81.224195533,1541.3647707,5.725,7,11.015,1.54,10.33
Connecticut,8539,394.07204036,229.27630547,143.34713083,89.92195153,1037.5221517,6.92,6.75,6.41,1.75,7.8
Connecticut,9140,670.63112173,308.17731316,347.2321813,175.18320974,1700.3832643,22.66,13.89,19.93,4.87,17.68
Connecticut,9589,370.02491924,167.89344257,157.12666566,72.060680454,1229.3355608,5.54,4.94,4.69,1.04,3.84
District Of Co,5479,211.27327111,135.69700924,129.51740546,35.0276575,518.55669811,5.885,4.15,4.75,0.97,16.375
District Of Co,6418,2354.8696784,1457.532028,1364.7323626,818.20743923,1172.6121074,198.38,35.54,118.92,12.99,29.545
District Of Co,7964,245.46555632,227.02544835,94.147261268,31.096062985,975.88813131,9.39,4.23,4.42,1.05,7.05
Florida,6919,178.10470975,105.85089969,87.47744623,18.389076421,442.8126208,0.71,1.78,1.31,0.14,1.65
Illinois,1052,1148.1868115,263.06096845,251.53987195,175.48084345,1933.1270209,11.635,7.99,9.34,1.56,57.63
Illinois,1712,873.71846049,232.98817552,314.86125676,63.133274345,1271.1994054,8.75,6.49,12.365,0.84,11.625
Illinois,1877,209.67259992,281.66318788,398.93345064,70.463386615,231.6698688,3.85,6.14,9.49,1.28,3.59
Illinois,2285,1294.2109545,294.8482368,256.55487151,107.21444851,2878.1480256,5.43,6.05,3.7,1.03,3.3
Illinois,2393,452.50048812,228.66811564,240.03992055,60.013818886,872.46157441,1.82,4.69,3.95,0.49,4.44
Illinois,2601,95.679302016,182.83363552,114.23735712,57.854287572,75.865041841,2.72,4.06,3.22,0.63,4.85
Illinois,2779,666.08591312,495.65100769,497.70627371,106.34438421,111.78743827,2.81,7.01,5.65,0.94,6.61
Illinois,3248,443.59562181,464.58739012,543.96548766,289.7054968,2750.9384218,13.58,10.51,7.15,2.09,25.9
Illinois,4629,594.0917617,296.12954592,260.00970996,36.33634132,342.80566898,1.55,4.08,5.11,0.52,3.14
Illinois,5042,20.517662722,134.2865597,20.801268382,75.949627863,156.34666211,8.46,7.81,3.29,4.905,11.14
Illinois,5890,379.45137711,371.28807306,431.93282536,61.883254234,1043.3134927,5.33,5.64,14.85,1,8.645
Illinois,6577,298.29534573,240.13802856,363.09229754,54.333988894,814.2506572,5.69,6.07,3.72,0.7,15.32
Illinois,8784,144.82051322,154.85249314,87.803739184,15.087973428,392.34807416,1.4,2.59,2.29,0.18,3.37
Illinois,8815,1108.3075198,361.31989596,581.96056526,108.66244492,1359.0121766,4.19,7.22,13.86,0.95,6.62
Illinois,8937,226.4393847,333.45117058,325.04972916,76.881958389,45.102268322,4.56,7.16,5.05,1.18,2.4
Illinois,9043,241.02579388,149.19606441,58.143397548,33.081675862,1147.1798321,3.885,3.07,4.005,0.42,25.955
Illinois,9553,567.88314052,401.17942422,416.44735033,120.73887911,2035.479509,6.1,7.26,7.33,1.09,35.31
Illinois,9899,300.35836584,335.51695063,344.15239237,91.05038722,983.54922236,7.65,6.64,10.55,1.43,11.75
Indiana,1324,610.20347882,312.79853153,267.45634076,160.1900856,1474.4170676,11.31,8.24,10.35,2.25,39.81
Indiana,1536,455.27816248,326.94684187,252.99969871,230.44575411,1421.4368053,23.14,13.45,17.05,3.92,23.68
Indiana,2870,109.79367949,74.563267384,33.02714995,24.746194063,360.13199857,0.68,2.38,1.36,0.4,3.97
Indiana,3222,149.28576984,183.21783731,94.377638484,25.870018333,265.94642191,1.59,3.38,2.395,0.31,2.14
Indiana,3228,535.55827756,276.19182721,374.15010766,87.760679351,1366.5035937,5.26,8.08,7.36,1.56,8.115
Indiana,4808,341.67485813,609.0320835,110.22099915,295.94701253,2018.3884971,51.74,31.115,17.92,8.31,174.39
Indiana,5627,233.83318972,302.18768904,188.57858653,160.14561426,1300.0171926,4.1,8.67,5.99,1.37,33.93
Massachusetts,1965,371.49675125,320.95401572,353.54811875,103.13255321,1180.5392511,22.145,12.08,23.97,3,19.73
Massachusetts,2439,325.2679541,221.27542412,497.3940315,126.93447026,1437.4083485,7.8,9.78,21.11,2.47,18.855
Massachusetts,2517,486.95400649,227.18808193,161.41454215,97.211007072,885.56907572,9.13,10.075,10.09,2.41,13.01
Massachusetts,3080,944.99475291,263.71813822,167.3932571,68.929811109,941.76697009,7.16,6.55,4.995,1.24,11.06
Massachusetts,3668,110.17299939,164.21693721,171.72808828,45.714214771,212.15181494,4.435,5.01,7.45,1.17,8.03
Massachusetts,3986,473.33221495,260.89138134,307.46826653,100.40648032,1135.6955774,9.425,9.44,13.69,1.87,10.095
Massachusetts,4949,817.94387743,262.26556887,215.08735471,106.82862076,1726.0940472,12.62,8.34,11.33,1.89,23.755
Massachusetts,5006,395.7624337,321.96581727,189.96730229,304.39448855,1237.8977459,33.245,22.96,29.3,7.12,34.825
Massachusetts,5524,269.05408641,487.01644955,472.18703901,89.53978259,264.23672287,23.32,14.94,38.555,5.48,14.95
Massachusetts,5527,322.63306872,193.28385142,194.82359266,44.628907799,973.38468111,2.64,6.98,8.755,0.94,9.525
Massachusetts,5882,348.82287356,424.54401534,220.71337549,198.64970239,1078.4690068,22.05,14.91,17.655,4.39,20.43
Massachusetts,6345,487.51969565,117.56143046,62.13163156,51.194540439,868.70687608,4.12,3.14,2.18,0.56,5.475
Massachusetts,6512,355.6808503,400.82411143,650.4184682,118.23028283,1714.9187088,15.82,17.21,29.18,4.11,18.425
Massachusetts,7305,924.98622517,220.62114077,145.52358013,141.1303278,1170.591633,15.72,8.9,18.26,2.8,16.99
Massachusetts,7342,435.82103382,435.09820073,818.98723634,186.69613171,1473.7248513,45.59,17.15,42.215,5.73,25.77
Massachusetts,7675,283.63298379,373.07391579,474.32615977,132.58057986,1735.2525666,16.28,9.83,29.53,3.15,17.13
Massachusetts,7723,114.87134593,128.2791864,92.286537897,40.549991723,746.48524321,7.66,5.23,6.07,0.89,3.55
Massachusetts,8556,127.25944634,166.95970767,206.18821298,38.862004066,207.48826715,3.755,4.73,7.63,0.9,3.405
Massachusetts,8748,63.023733279,71.562566558,132.93104152,21.854342624,62.376220884,2.73,3.36,4.365,0.85,3.61
Massachusetts,9303,468.68632695,269.72271293,256.0519276,58.835828393,651.60986564,3.95,6.92,16.6,1.26,9
Massachusetts,9927,234.85084395,193.02807801,133.03735118,58.996554832,824.12052914,5.375,4.72,4.97,1.09,5.15
Michigan,3732,347.50331077,85.283386152,34.920798348,24.755950552,501.60769759,2.12,2.12,2.03,0.42,2.29
Michigan,6144,576.33346826,125.93452103,68.289918348,42.808535762,490.76472292,4.85,3.94,2.725,0.8,4
Minnesota,3550,147.32486824,128.71230762,143.74187744,95.923998459,1317.7381303,4.18,6.265,11.34,1.58,11.06
Missouri,1044,131.44920888,183.52307996,236.30214078,20.455159179,320.19334511,0.76,3.62,1.85,0.29,2.675
Missouri,1742,297.12056255,210.63776008,194.02411215,68.335278817,748.80334194,3.39,5.13,6.97,1.13,9.425
Missouri,2956,32.346047532,131.50236674,68.505676827,10.330465144,25.698134715,0.68,2.74,1.45,0.19,0.88
Missouri,4051,202.24225202,129.00847448,190.36744312,18.87543751,136.07559369,2.04,3.68,3.58,0.34,5.46
Missouri,4348,82.992809419,212.47655021,231.65481541,41.73323456,114.35792197,2.82,5.32,5.71,0.94,2.5
Missouri,5422,42.877916475,210.30107672,179.46250251,67.921126425,154.71871221,11.53,8.36,26.27,3.85,10.28
New Hampshire,1857,620.74943907,300.55970627,316.69765663,119.10338663,2362.6801972,27.33,9.79,18.58,3.5,10.49
New Hampshire,4314,395.60027933,337.2574827,294.79854799,127.35239851,1481.1886247,11.26,13.3,21.78,5.7,31.56
New Jersey,8256,147.5824038,103.83317435,143.04299274,31.207165775,560.46214932,2.295,4.27,4.065,0.64,3.215
New Jersey,8433,757.49000672,395.25143277,265.17662685,190.62683023,2608.5692857,64.14,19.2,23.32,7.29,26.56
New York,1470,1351.2174626,461.65568385,333.83840729,218.67373064,2616.7379552,39.01,18.635,23.11,6.22,13.39
New York,2257,1040.0219294,505.52458179,323.55444003,202.79427962,3510.766982,48.78,29.19,40.66,9.15,167.24
New York,2940,200.84698413,130.84259567,273.19118393,89.220477345,1002.8789162,6.9,6.58,15.34,1.2,16.955
New York,4775,272.77501299,632.99042086,659.98561728,371.95363658,3066.1240116,27.15,26.175,52.71,6.97,20.535
New York,7798,779.2668547,487.1197892,349.64509615,176.14233164,1654.6871269,31.34,20.1,35.42,6.81,19.2
New York,8520,694.9833667,229.63587424,381.36202962,115.33476665,1257.139598,7.095,7.5,6.485,1.97,27.905
New York,9515,460.0576834,387.26205393,246.96521815,267.14992357,2874.3091519,34.625,21.65,21.83,8.12,56.215
New York,9536,3889.4540605,1019.0257246,675.50401241,560.70937585,5271.7608281,96.89,24.56,56.285,8.135,64.475
North Carolina,3558,323.13012355,140.8953687,74.294017161,55.758576346,69.447424512,8.405,5.42,3.945,1.89,7.42
North Carolina,6584,265.07649052,178.81700572,202.91936125,47.133010562,588.13501751,3.39,3.63,6.35,0.8,5.06
North Carolina,7177,48.391419946,114.9112304,79.216055094,11.512309996,134.22376805,0.7,1.48,0.8,0.15,1.09
North Carolina,7767,28.428056255,62.546941725,23.735061898,12.409868761,37.769226314,0.99,1.11,0.95,0.26,1.75
North Dakota,2872,691.202,440.4987744,183.53037037,177.46374707,1434.6691,57.935,40.68,42.435,13.61,16.95
Ohio,2060,81.307995418,72.009698445,50.438833819,10.163846244,366.10827702,0.8,2.92,2.73,0.22,1.37
Ohio,2598,55.419876626,271.83600394,356.1151848,61.04859217,23.844414139,1.425,6.34,2.23,0.55,2.83
Ohio,2991,185.24895649,163.17481915,267.05236522,49.960291778,522.71320871,3.65,5.84,11.425,1,8.47
Ohio,3670,426.23027778,487.36820717,182.1873913,243.75689076,1645.1956716,34.035,25.96,18.1,6.805,72.64
Ohio,5150,153.86075888,140.15658882,150.35085174,82.952232109,566.64365395,1.89,4.24,3.6,0.7,10.7
Ohio,6104,218.34579677,171.88206142,183.93363871,47.770205221,878.33767617,2.485,5.28,3.655,0.68,6.18
Ohio,7741,278.14030914,176.21464011,148.05789076,50.766867024,751.28114061,3.04,5.135,4.25,0.78,9.835
Ohio,7970,355.8149219,214.10473294,270.4063273,116.34088003,666.27796974,6.94,6.38,20.37,1.33,15.055
Ohio,8425,297.20307646,277.1246952,419.63731462,154.82957681,945.65892041,11.42,11.15,21.02,3.34,16.72
Ohio,9478,674.12265267,567.45463263,296.18815185,200.19497617,1938.9633188,22.66,22.19,28.05,6.12,64.83
Ohio,9537,128.674342,163.02252814,342.2145621,33.101066241,881.20923773,2.14,5.96,9.2,0.61,8.33
Tennessee,6640,143.30004329,100.78360099,53.732419571,26.518539246,524.82322014,1.03,2.12,1.11,0.25,2.58
Tennessee,8103,13.680406504,62.470790506,5.9451932367,25.111457871,110.8191015,0.91,3.18,0.88,0.56,3.2
Texas,4683,64.909799499,105.7413516,55.241576674,33.714073573,301.34672468,1.51,3.61,2.16,0.63,5.105
Texas,8884,157.609789,77.729003676,62.246815467,17.734423152,1270.3517134,1.09,1.94,2.41,0.14,0.91
Utah,1204,186.44624625,292.42734523,49.78746988,74.891995562,62.872358581,16.65,17.49,6.03,3.44,6.67
Utah,1270,64.63019909,216.57274142,141.09111063,46.029206882,155.32348541,4.97,4.41,5.23,1.35,6.81
Utah,1772,44.543388379,255.13119398,162.62694898,36.596806868,96.292483836,6.02,7.07,5.03,1.17,5.13
Utah,2165,47.702093558,126.70037903,39.517737478,33.318719833,204.44048451,2.41,4.41,3.72,0.99,4.1
Utah,2441,51.483773389,105.94463,58.411622691,21.227754946,275.54674419,2.06,2.6,3.11,0.47,1.24
Utah,3160,25.677746874,93.91602615,38.670181143,8.7633772333,83.760933054,0.54,1.32,1.39,0.15,0.95
Utah,3266,126.23624171,181.03880235,97.307759815,40.105522296,441.05024258,2.66,5.38,4.13,1.22,2.92
Utah,3692,633.36595385,875.47948975,312.59250552,363.86295203,3210.3890864,83.045,139.72,81.08,33.33,364.86
Utah,3710,168.38898889,477.20165034,281.69175069,218.87367495,1179.0090842,55.76,28.17,35.93,8.33,58.53
Utah,3772,36.735021389,82.294068435,36.708865289,15.451884464,99.267094352,1.1,1.71,1.65,0.37,1.41
Utah,3864,51.011847545,70.416349794,52.761740304,12.841609449,235.34380553,1.74,2.48,2.4,0.22,4.08
Utah,4183,34.112947846,66.821899734,36.539609508,13.92888017,112.88992981,1.27,2.38,1.48,0.44,2.715
Utah,4373,126.59789062,272.95991844,199.21976801,80.144514124,20.992821101,23.875,25.78,37.43,13.125,10.67
Utah,4668,47.901118242,94.603271028,88.883685249,8.0522240853,152.41126934,0.57,1.35,0.64,0.11,0.83
Utah,4744,198.3497931,765.95864477,462.3766824,135.25680258,119.51513783,27.2,16.34,66.06,7.77,15.55
Utah,4921,40.543172716,94.05885431,71.521846154,11.251295773,138.52600495,0.53,1.63,1.35,0.14,0.78
Utah,4936,1736.3708271,479.73648399,292.25650504,240.05046087,3824.2933715,60.23,20.24,14.905,6.86,17.71
Utah,5231,176.05645215,537.89776481,273.74971122,119.05761657,712.3848589,7.82,16.08,14.6,3.49,26.24
Utah,5600,537.17304085,476.06277638,67.393689956,141.71326938,3228.5202872,59.65,54.13,14.415,10.99,40.435
Utah,6762,644.43179174,599.46692663,464.41363846,178.7732452,817.103463,60.605,16.63,18.64,6.62,49.77
Utah,7308,57.630635786,144.20025567,82.092655411,45.759503117,140.45451389,7.85,5.5,4.71,1.72,12.55
Utah,7387,146.30036296,246.33698428,239.43607269,133.81211706,205.25282537,32.595,16,13,6.85,14.38
Utah,7541,69.381283031,165.07667419,88.041346769,35.722275081,506.81075051,2.71,3.31,2.115,0.57,3.3
Utah,7614,64.875122839,153.52464947,85.970643671,22.898939868,211.93159483,3.03,3.95,2.79,0.62,3.26
Utah,7660,270.06080876,290.26771507,156.21060556,113.38140802,505.96589413,24.05,14.84,18.695,4.03,19.5
Utah,8328,121.29849839,197.27473315,109.3863985,54.302293718,677.54328148,6.89,6.12,4.565,1.41,6.9
Utah,9230,98.674913007,289.65084828,103.00677228,113.1488225,280.34400458,12.2,14.31,9.84,3.52,18.25
Utah,9778,40.830205832,145.65246363,39.923165117,24.733159257,282.3633404,1.22,2.87,1.71,0.57,3.17
Utah,9812,79.916096162,132.55113315,94.452527162,12.912380168,178.9048726,0.46,1.78,1.11,0.18,1.06
Virginia,1549,119.89287891,235.78186681,138.85994035,53.157038181,489.60883931,5.8,6.73,10.6,1.26,6.81
Virginia,1791,73.932554201,91.617463165,33.505907384,7.7907099372,127.71018151,0.61,1.24,0.74,0.16,0.75
Virginia,4929,98.873933862,176.76071527,79.428134216,36.290194454,233.10755701,1.82,3.39,2.74,0.59,2.56
Virginia,7980,134.22488449,173.32808369,219.70747261,41.438867691,188.48457696,2,4.26,4.13,0.76,12.975
Washington,1705,144.7351142,176.44460153,188.55349036,28.696242165,272.58103152,1.81,3.53,4.07,0.74,5.03
Washington,2130,90.207260167,93.342028904,63.482104917,18.203742322,320.72253167,1.04,1.83,3.51,0.27,1.36
Washington,2167,194.20601479,224.31160873,174.68878824,23.583805855,1612.5629963,3.14,5.76,14.785,0.61,3.52
Washington,2567,71.287095344,73.228807991,71.690590591,18.052866955,312.87430966,0.98,2.9,1.83,0.35,5.82
Washington,5510,63.124194203,59.864299283,75.974487505,14.229445604,384.7953281,0.74,1.76,1.15,0.19,2.17
Washington,7457,163.82828088,126.60340897,116.24294183,28.350720171,636.22755809,1.13,2.88,3.58,0.35,3.71
Wisconsin,5987,283.41004763,258.73587397,473.23048938,85.381381672,1325.2929252,7.37,6.88,21.18,1.84,14.8
Wisconsin,7752,287.38868906,266.58826111,496.96298729,91.637230167,145.66656167,3.85,7.03,10.745,1.52,6.81
Wisconsin,8902,181.71881013,640.38736699,480.38870564,167.63067222,473.84923164,4.25,17.69,24.77,4.25,25.48
